Path,Emotion,Intensity,Statement,Rep,Actor,Gender,Duration
C:/Users/Patrick/Documents/Capstone Data/RAVDESS/Actor_01/03-01-01-01-01-01-01.wav,neutral,normal,kids,1,1,male,3.3032916666666665
C:/Users/Patrick/Documents/Capstone Data/RAVDESS/Actor_01/03-01-01-01-01-02-01.wav,neutral,normal,kids,2,1,male,3.3366666666666664
C:/Users/Patrick/Documents/Capstone Data/RAVDESS/Actor_01/03-01-01-01-02-01-01.wav,neutral,normal,dogs,1,1,male,3.2699166666666666
C:/Users/Patrick/Documents/Capstone Data/RAVDESS/Actor_01/03-01-01-01-02-02-01.wav,neutral,normal,dogs,2,1,male,3.1698333333333335
C:/Users/Patrick/Documents/Capstone Data/RAVDESS/Actor_01/03-01-02-01-01-01-01.wav,calm,normal,kids,1,1,male,3.5368541666666666
C:/Users/Patrick/Documents/Capstone Data/RAVDESS/Actor_01/03-01-02-01-01-02-01.wav,calm,normal,kids,2,1,male,3.6035833333333334
C:/Users/Patrick/Documents/Capstone Data/RAVDESS/Actor_01/03-01-02-01-02-01-01.wav,calm,normal,dogs,1,1,male,3.5035
C:/Users/Patrick/Documents/Capstone Data/RAVDESS/Actor_01/03-01-02-01-02-02-01.wav,calm,normal,dogs,2,1,male,3.4701458333333335
C:/Users/Patrick/Documents/Capstone Data/RAVDESS/Actor_01/03-01-02-02-01-01-01.wav,calm,strong,kids,1,1,male,3.703708333333333
C:/Users/Patrick/Documents/Capstone Data/RAVDESS/Actor_01/03-01-02-02-01-02-01.wav,calm,strong,kids,2,1,male,4.004
C:/Users/Patrick/Documents/Capstone Data/RAVDESS/Actor_01/03-01-02-02-02-01-01.wav,calm,strong,dogs,1,1,male,4.204208333333334
C:/Users/Patrick/Documents/Capstone Data/RAVDESS/Actor_01/03-01-02-02-02-02-01.wav,calm,strong,dogs,2,1,male,4.004
C:/Users/Patrick/Documents/Capstone Data/RAVDESS/Actor_01/03-01-03-01-01-01-01.wav,happy,normal,kids,1,1,male,3.4701458333333335
C:/Users/Patrick/Documents/Capstone Data/RAVDESS/Actor_01/03-01-03-01-01-02-01.wav,happy,normal,kids,2,1,male,3.470125
C:/Users/Patrick/Documents/Capstone Data/RAVDESS/Actor_01/03-01-03-01-02-01-01.wav,happy,normal,dogs,1,1,male,3.5368541666666666
C:/Users/Patrick/Documents/Capstone Data/RAVDESS/Actor_01/03-01-03-01-02-02-01.wav,happy,normal,dogs,2,1,male,3.703708333333333
C:/Users/Patrick/Documents/Capstone Data/RAVDESS/Actor_01/03-01-03-02-01-01-01.wav,happy,strong,kids,1,1,male,3.6703333333333332
